town,ppl,sch,thr,hsp,bnk,grc,gas,mat,swp,pof,law,frm
Mullion,2040,1,0,0,2,0,1,0,0,1,0,0
South Brent,2087,1,1,0,1,1,0,0,0,1,0,0
St Just,2092,1,0,0,2,1,1,0,0,1,0,0
St Columb Minor,2119,1,0,0,2,1,1,0,0,1,1,0
Nanpean,2230,2,1,0,0,0,0,0,0,2,0,0
Gunnislake,2236,2,1,0,1,0,1,0,0,3,0,0
Mevagissey,2272,1,1,0,1,0,0,0,0,1,0,0
Ipplepen,2275,1,1,0,0,0,1,0,0,1,0,0
Alston,2362,1,0,0,1,1,0,0,0,1,0,0
Lostwithiel,2452,2,1,0,2,0,1,0,0,1,0,1
St Columb Major,2458,1,0,0,0,1,3,0,0,2,0,0
Padstow,2460,1,0,0,3,0,0,0,0,1,1,0
Perranporth,2611,1,1,0,1,1,2,0,0,2,0,0
Bugle,2695,2,0,0,0,0,1,0,0,2,0,0
Buckfastleigh,2786,2,1,0,1,2,2,0,1,1,1,1
St Agnes,2899,1,1,0,2,1,1,0,0,2,0,0
Porthleven,3123,1,0,0,1,1,0,0,0,1,0,0
Callington,3511,1,1,0,3,1,1,0,1,1,0,0
Horrabridge,3609,1,1,0,2,1,1,0,0,2,0,0
Ashburton,3660,1,0,1,2,1,2,0,1,1,1,0
Kingskerswell,3672,1,0,0,0,1,2,0,0,1,0,0
Looe,5022,1,1,0,2,1,1,0,1,3,1,0
Kingsbridge,5258,2,1,1,7,1,2,0,0,1,1,1
Wadebridge,5291,1,1,0,5,3,1,0,1,1,1,0
Dartmouth,5676,2,0,0,4,4,1,0,0,2,1,1
Launceston,6466,4,1,0,8,4,4,0,1,3,1,0
Totnes,6929,2,1,1,7,2,1,0,1,4,0,1
Penryn,7027,3,1,0,2,4,1,0,0,3,1,0
Hayle,7034,4,0,1,2,2,2,0,0,2,1,0
Liskeard,7044,2,2,2,6,2,3,0,1,2,2,0
Torpoint,8238,2,3,0,3,2,1,0,0,2,1,0
Helston,8505,3,1,1,7,2,3,0,1,1,1,1
St Blazey,8837,5,2,0,1,1,4,0,0,4,0,0
Ivybridge,9179,5,1,0,3,1,4,0,0,1,1,0
St Ives,10092,4,3,0,7,2,2,0,0,4,1,0
Tavistock,10222,5,3,1,7,3,3,1,2,3,1,1
Bodmin,12553,5,2,1,6,3,5,1,1,2,1,0
Saltash,14139,4,2,1,4,2,3,1,1,3,1,0
Brixham,15865,7,3,1,5,5,3,0,2,5,1,0
Newquay,17390,4,4,1,12,5,4,0,1,5,1,0
Truro,18966,9,3,1,19,4,5,2,2,7,1,1
Penzance,19709,10,4,1,12,7,5,1,1,7,2,0
Falmouth,20297,6,4,1,11,3,2,0,1,9,1,0
St Austell,21622,7,4,2,14,6,4,3,1,8,1,1
Newton Abbot,23801,13,4,1,13,4,7,1,1,7,2,0
